Subject#,shortcut,Shortcut liberal,Learned,Learned liberal,Reversed Learned,rev learned liberal,wandering,uncodable,Failure,shortcut_wliberal,learned,rev learned,Success,Soln Index,SI_true,SI_true_percent,SI_strict,Sum_trials,Success_dec,Success_percent,TrueEfficiency,TrueEfficiency_new,Time,Distance,Time_first_movement,Age,Sex,Status,Group
301,3,0,2,4,0,2,0,0,9,3,6,2,11,0.333333333,0.272727273,27.27272727,0.272727273,20,0.55,55,2.718943276,2.946739647,32.1735,431.843,1.8655,61,Female,post,Midlife
306,2,0,1,2,0,1,0,2,12,2,3,1,8,0.4,0.25,25,0.25,20,0.4,40,2.131807817,3.242009439,33.2195,427.407,2.7675,58,Female,post,Midlife
310,2,0,0,5,1,1,1,3,7,2,5,2,13,0.285714286,0.153846154,15.38461538,0.153846154,20,0.65,65,2.343300228,3.427915492,30.6405,427.512,2.6825,48,Female,pre,Midlife
311,0,1,9,1,0,0,0,2,7,1,10,0,13,0.090909091,0.076923077,7.692307692,0,20,0.65,65,3.474361371,3.501002954,32.922,461.8335,5.758,50,Female,peri,Midlife
312,3,1,3,2,1,2,0,0,8,4,5,3,12,0.444444444,0.333333333,33.33333333,0.25,20,0.6,60,2.090957181,3.029645687,30.461,380.9265,5.4105,48,Female,peri,Midlife
313,0,0,12,0,0,0,0,0,4,0,12,0,12,0,0,0,0,16,0.75,75,3.39269489,3.480943892,29.23705882,444.5223529,1.796470588,54,Female,peri,Midlife
315,3,1,3,3,1,0,0,2,7,4,6,1,13,0.4,0.307692308,30.76923077,0.230769231,20,0.65,65,2.167286137,3.510274669,32.1935,440.966,1.394,44,Female,pre,Midlife
318,2,1,3,0,0,0,3,5,1,3,3,0,14,0.5,0.214285714,21.42857143,0.142857143,15,0.933333333,93.33333333,3.03707153,3.176259124,25.305625,377.020625,1.809375,49,Female,pre,Midlife
323,6,0,0,1,3,2,1,2,5,6,1,5,15,0.857142857,0.4,40,0.4,20,0.75,75,1.95790174,2.988615517,26.268,372.826,3.0605,48,Female,pre,Midlife
324,3,0,0,1,0,2,0,3,11,3,1,2,9,0.75,0.333333333,33.33333333,0.333333333,20,0.45,45,3.429775615,4.110881621,32.2555,525.6435,2.0675,48,Female,pre,Midlife
