SubjectID,Group,Age,Sex,Status,Radius,Total_trials,mean_dist1,mean_dist2,mean_dist3,pstd_dist1,pstd_dist2,pstd_dist3,mean_angl1,mean_angl2,mean_angl3,pstd_angl1,pstd_angl2,pstd_angl3,mean_degrees1,mean_degrees2,mean_degrees3,pstd_degrees1,pstd_degrees2,pstd_degrees3
307,Midlife,61,Female,post,1,10,0.98367552,1.819395375,3.932783453,0.517826896,1.234720928,1.992241807,62.62922105,61.61894529,96.48074263,35.25990605,48.31383748,58.74220864,313.3553705,323.3426389,294.0538161,56.50334308,72.6303038,96.50913912
310,Midlife,48,Female,pre,1,6,0.747623768,1.332249647,2.031943919,0.477232135,0.731031501,1.303136571,45.49689502,39.26530197,40.24428334,30.55112385,24.48400477,26.06776465,405.7968033,385.428355,398.3151299,33.336801,41.13341915,32.30304146
311,Midlife,50,Female,peri,1,10,0.49810313,0.724997955,1.873749169,0.349038909,0.396760396,1.701495513,22.90614245,20.94550221,39.87317412,17.43763539,12.40362241,40.20314592,364.1124826,355.6010719,359.9472282,29.98301396,25.16454261,60.04339152
312,Midlife,48,Female,peri,1,9,0.796766809,0.972660379,1.746381734,0.314619024,0.62160125,1.285380728,51.55217336,28.75111402,35.15389474,22.94113427,20.10691647,27.80514353,309.3183862,354.0513594,334.5009752,24.32256698,36.36801909,38.84553739
313,Midlife,54,Female,peri,1,4,,0.891309005,1.985066488,,0.548165072,1.356905448,,26.74613885,41.8463304,,17.8188629,32.25525095,,333.7167923,367.3710951,,18.87516048,55.1575976
315,Midlife,44,Female,pre,1,6,0.547846965,1.698711013,3.720656864,0.363551725,0.865762879,1.698191294,31.00133818,51.50170875,86.85854011,25.73098357,27.63767705,50.22236634,362.7810424,402.7767842,484.9565994,44.27076592,42.68294377,117.4509792
323,Midlife,48,Female,pre,1,9,0.605935583,0.831983951,2.293995372,0.343536842,0.812306436,0.831940788,38.1852991,24.28590642,45.98484016,27.18865651,25.86282538,17.38724662,336.0155482,344.2218525,343.1045712,42.46698991,34.83756245,48.58790138
324,Midlife,48,Female,pre,1,10,1.398019765,2.950516412,4.288506342,0.372096401,0.915743847,1.294313257,103.1416095,117.9710593,102.9896749,37.2675563,50.88237385,41.48894081,257.0545313,265.3444172,252.0855158,39.28517694,93.84386684,78.24136842
326,Midlife,50,Female,post,1,10,1.011793976,1.363596828,3.02007394,0.472575609,0.918711723,1.184529145,67.20177366,42.75878545,63.81035368,37.92400909,32.58439114,27.04316856,293.2148319,317.598507,297.840495,39.93538053,34.60734515,31.80026262
327,Midlife,52,Female,post,1,6,0.529861205,1.084045387,2.602888737,0.340878731,0.326836412,1.22160657,30.27165439,32.39933259,52.82200916,24.37329761,10.07062104,26.15086773,333.2024367,349.5035229,356.5189559,29.18395483,33.90379681,103.0384645
333,Midlife,45,Female,pre,1,9,1.774640974,3.152554192,4.365633686,0.184806119,0.602905682,1.329997855,154.4897421,115.4273204,102.2061532,22.77193263,34.54713359,39.34556509,197.5003455,244.8585165,257.9559062,31.47918308,36.3050298,41.59793515
334,Midlife,53,Female,post,1,7,0.351459214,2.85724639,3.736760056,0.149173824,0.621424514,1.40742768,18.01619082,94.29212896,79.87124529,10.94376773,29.7208256,33.54578661,353.9168727,463.1048947,440.1707033,21.60355156,91.47364278,35.58591792
335,Midlife,49,Female,post,1,9,0.661426772,2.24645192,3.905248116,0.347336789,1.259154789,1.885776519,39.86732113,78.62381786,92.29757607,23.10840142,53.37312924,51.56864899,483.596465,445.0379513,403.0531952,52.37250771,92.177979,74.98129744
337,Midlife,53,Female,peri,1,6,0.439498408,1.978588879,4.014734566,0.311948411,1.014639571,1.606928035,20.79652882,63.37352895,97.62998117,23.40246838,36.16682363,51.9759911,361.6340302,423.7157447,458.1412443,34.03466767,38.46040325,56.21509572
338,Midlife,54,Female,post,1,7,0.850775864,1.758476084,2.577602383,0.437624771,0.69759489,1.385464812,49.69656591,52.0676303,51.72838318,26.30499484,21.86870679,28.48014789,324.14595,308.0803774,310.4295425,45.96991194,23.97126986,34.35964011
339,Midlife,43,Female,pre,1,7,0.659700347,2.676250928,,0.45314119,1.513214544,,40.1776371,105.0336565,,29.68332123,65.58453395,,387.6562066,543.2057957,,45.29053831,145.7435327,
340,Midlife,50,Female,post,1,9,0.550864027,1.090390153,3.303210585,0.299633482,0.753571072,1.310130012,32.66131546,32.54088434,69.40254072,18.02660178,23.70108312,31.21159574,353.7580399,356.9961026,374.2600729,38.68967312,42.27350284,83.5614541
